[[11955, 'adm1_name']]
[[11956, 'adm1_name']]
[[11957, 'adm1_name']]
[[11958, 'adm1_name']]
[[11959, 'adm1_name']]
[[11960, 'adm1_name']]
[[11961, 'adm1_name']]
[[11962, 'adm1_name']]
[[11963, 'adm1_name']]
[[11964, 'adm1_name']]
[[11965, 'adm1_name']]
[[11966, 'adm1_name']]
[[11967, 'adm1_name']]
[[11968, 'adm1_name']]
[[11969, 'adm1_name']]
[[11970, 'adm1_name']]
[[11971, 'adm1_name']]
[[11972, 'adm1_name']]
[[11973, 'adm1_name']]
[[11974, 'adm1_name']]
[[11975, 'adm1_name']]
[[11976, 'adm1_name']]
[[11977, 'adm1_name']]
[[11978, 'adm1_name']]
[[11979, 'adm1_name']]
[[11980, 'adm1_name']]
[[11981, 'adm1_name']]
[[11982, 'adm1_name']]
[[11983, 'adm1_name']]
[[11984, 'adm1_name']]
[[11985, 'adm1_name']]
[[11986, 'adm1_name']]
[[11987, 'adm1_name']]
[[11988, 'adm1_name']]
[[11989, 'adm1_name']]
[[11990, 'adm1_name']]
[[11991, 'adm1_name']]
[[11992, 'adm1_name']]
[[11993, 'adm1_name']]
[[11994, 'adm1_name']]
[[11995, 'adm1_name']]
[[11996, 'adm1_name']]
[[11997, 'adm1_name']]
[[11998, 'adm1_name']]
[[11999, 'adm1_name']]
[[12000, 'adm1_name']]
[[12001, 'adm1_name']]
[[12002, 'adm1_name']]
[[12003, 'adm1_name']]
[[12004, 'adm1_name']]
[[12005, 'adm1_name']]
[[12006, 'adm1_name']]
[[12007, 'adm1_name']]
[[12008, 'adm1_name']]
[[12009, 'adm1_name']]
[[12010, 'adm1_name']]
[[12011, 'adm1_name']]
[[12012, 'adm1_name']]
[[12013, 'adm1_name']]
[[12014, 'adm1_name']]
[[12015, 'adm1_name']]
[[12016, 'adm1_name']]
[[12017, 'adm1_name']]
[[12018, 'adm1_name']]
[[12019, 'adm1_name']]
[[12020, 'adm1_name']]
[[12021, 'adm1_name']]
[[12022, 'adm1_name']]
[[12023, 'adm1_name']]
[[12024, 'adm1_name']]
[[12025, 'adm1_name']]
[[12026, 'adm1_name']]
[[12027, 'adm1_name']]
[[12028, 'adm1_name']]
[[12029, 'adm1_name']]
[[12030, 'adm1_name']]
[[12031, 'adm1_name']]
